Layers	Neurons	ActFn	MCR	Loss	Iter
1	1	iden	0.25	0.66629	8
1	1	logi	0.5	0.585204	68
1	1	relu	0.14	0.584713	27
1	1	tanh	0.28	0.693148	5
1	2	iden	0.25	0.66629	9
1	2	logi	0.39	0.474326	288
1	2	relu	0.5	0.520739	41
1	2	tanh	0.19	0.544104	35
1	3	iden	0.25	0.666291	6
1	3	logi	0.4	0.351642	142
1	3	relu	0.38	0.42305	101
1	3	tanh	0.44	0.412109	45
1	4	iden	0.25	0.666291	5
1	4	logi	0.4	0.257223	360
1	4	relu	0.31	0.359374	55
1	4	tanh	0.5	0.039411	1696
1	5	iden	0.25	0.666291	5
1	5	logi	0.5	0.008901	1384
1	5	relu	0.42	0.288185	45
1	5	tanh	0.5	0.004966	4117
1	6	iden	0.25	0.666291	7
1	6	logi	0.5	0.002225	257
1	6	relu	0.5	0.000552	97
1	6	tanh	0.5	0.000924	91
1	7	iden	0.25	0.666291	6
1	7	logi	0.5	0.002388	227
/usr/lib/python3.8/site-packages/sklearn/neural_network/_multilayer_perceptron.py:471: ConvergenceWarning: lbfgs failed to converge (status=2):					
ABNORMAL_TERMINATION_IN_LNSRCH.					
					
Increase the number of iterations (max_iter) or scale the data as shown in:					
https://scikit-learn.org/stable/modules/preprocessing.html					
self.n_iter_ = _check_optimize_result("lbfgs", opt_res, self.max_iter)					
1	7	relu	0.5	0.029238	91
1	7	tanh	0.5	0.001518	195
1	8	iden	0.25	0.666292	6
1	8	logi	0.5	0.002066	335
1	8	relu	0.5	0.000662	102
1	8	tanh	0.5	0.001917	546
1	9	iden	0.25	0.666292	6
1	9	logi	0.5	0.001796	159
1	9	relu	0.5	0.00052	69
1	9	tanh	0.5	0.001039	124
1	10	iden	0.25	0.666292	6
1	10	logi	0.5	0.00316	356
1	10	relu	0.5	0.000356	66
1	10	tanh	0.5	0.001172	235
2	1	iden	0.25	0.666291	10
2	1	logi	0.5	0.585196	99
2	1	relu	0.5	0.584768	26
2	1	tanh	0.5	0.584792	28
2	2	iden	0.25	0.666291	10
2	2	logi	0.43	0.578534	116
2	2	relu	0.5	0.500207	27
2	2	tanh	0.31	0.54982	227
2	3	iden	0.25	0.666291	8
2	3	logi	0.4	0.305488	1546
2	3	relu	0.38	0.429885	64
2	3	tanh	0.5	0.24032	1993
2	4	iden	0.25	0.666292	9
2	4	logi	0.5	0.223117	351
2	4	relu	0.5	0.000177	152
2	4	tanh	0.5	0.222328	240
2	5	iden	0.25	0.666294	9
2	5	logi	0.5	0.001207	380
2	5	relu	0.48	0.099705	91
2	5	tanh	0.5	0.000218	161
2	6	iden	0.25	0.666295	6
